=> Building model...
model depth 20...
=> loading cifar100 data...
Files already downloaded and verified
Files already downloaded and verified
Epoch: [0][450/782]	Time 0.017 (0.016)	Data 0.002 (0.002)	Loss 3.8506 (4.1745)	Prec 6.250% (5.606%)
Epoch: [0][460/782]	Time 0.020 (0.016)	Data 0.001 (0.002)	Loss 3.8277 (4.1679)	Prec 6.250% (5.637%)
Epoch: [0][470/782]	Time 0.025 (0.016)	Data 0.002 (0.002)	Loss 4.0611 (4.1603)	Prec 10.938% (5.726%)
Epoch: [0][480/782]	Time 0.015 (0.016)	Data 0.001 (0.002)	Loss 4.0009 (4.1539)	Prec 10.938% (5.808%)
Epoch: [0][490/782]	Time 0.014 (0.016)	Data 0.001 (0.002)	Loss 3.7830 (4.1482)	Prec 6.250% (5.849%)
Epoch: [0][500/782]	Time 0.014 (0.016)	Data 0.001 (0.002)	Loss 3.7009 (4.1449)	Prec 9.375% (5.888%)
Epoch: [0][510/782]	Time 0.020 (0.016)	Data 0.002 (0.002)	Loss 3.8438 (4.1381)	Prec 7.812% (5.935%)
Epoch: [0][520/782]	Time 0.021 (0.016)	Data 0.002 (0.002)	Loss 3.5444 (4.1331)	Prec 18.750% (6.025%)
Epoch: [0][530/782]	Time 0.013 (0.016)	Data 0.001 (0.002)	Loss 3.9203 (4.1287)	Prec 7.812% (6.091%)
Epoch: [0][540/782]	Time 0.013 (0.016)	Data 0.001 (0.002)	Loss 3.9071 (4.1243)	Prec 6.250% (6.134%)
Epoch: [0][550/782]	Time 0.014 (0.016)	Data 0.001 (0.002)	Loss 3.8717 (4.1188)	Prec 10.938% (6.182%)
Epoch: [0][560/782]	Time 0.018 (0.016)	Data 0.002 (0.002)	Loss 3.8528 (4.1130)	Prec 14.062% (6.225%)
Epoch: [0][570/782]	Time 0.018 (0.016)	Data 0.002 (0.002)	Loss 3.7327 (4.1083)	Prec 10.938% (6.297%)
Epoch: [0][580/782]	Time 0.013 (0.016)	Data 0.001 (0.002)	Loss 3.6918 (4.1037)	Prec 12.500% (6.333%)
Epoch: [0][590/782]	Time 0.013 (0.016)	Data 0.001 (0.002)	Loss 3.5817 (4.0981)	Prec 15.625% (6.411%)
Epoch: [0][600/782]	Time 0.013 (0.016)	Data 0.001 (0.002)	Loss 3.7953 (4.0932)	Prec 9.375% (6.458%)
Epoch: [0][610/782]	Time 0.014 (0.016)	Data 0.002 (0.002)	Loss 3.9436 (4.0877)	Prec 7.812% (6.536%)
