=> Building model...
model depth 110...
=> loading cifar10 data...
Files already downloaded and verified
Files already downloaded and verified
Epoch: [0][0/782]	Time 0.373 (0.373)	Data 0.114 (0.114)	Loss 3.2059 (3.2059)	Prec 3.125% (3.125%)
Epoch: [0][10/782]	Time 0.061 (0.094)	Data 0.001 (0.012)	Loss 4.0035 (4.8515)	Prec 7.812% (10.795%)
Epoch: [0][20/782]	Time 0.063 (0.080)	Data 0.001 (0.007)	Loss 2.3027 (3.7530)	Prec 6.250% (10.491%)
Epoch: [0][30/782]	Time 0.063 (0.074)	Data 0.001 (0.005)	Loss 2.3434 (3.3305)	Prec 9.375% (10.685%)
Epoch: [0][40/782]	Time 0.061 (0.071)	Data 0.001 (0.004)	Loss 2.3160 (3.0870)	Prec 6.250% (10.175%)
Epoch: [0][50/782]	Time 0.061 (0.069)	Data 0.001 (0.004)	Loss 2.2836 (2.9316)	Prec 9.375% (10.080%)
Epoch: [0][60/782]	Time 0.063 (0.068)	Data 0.001 (0.003)	Loss 2.2745 (2.8289)	Prec 18.750% (10.425%)
Epoch: [0][70/782]	Time 0.061 (0.067)	Data 0.001 (0.003)	Loss 2.2719 (2.7540)	Prec 10.938% (10.321%)
Epoch: [0][80/782]	Time 0.061 (0.066)	Data 0.001 (0.003)	Loss 2.2923 (2.6985)	Prec 4.688% (10.166%)
Epoch: [0][90/782]	Time 0.061 (0.066)	Data 0.001 (0.003)	Loss 2.2515 (2.6539)	Prec 20.312% (10.371%)
Epoch: [0][100/782]	Time 0.061 (0.065)	Data 0.001 (0.002)	Loss 2.2887 (2.6195)	Prec 9.375% (10.210%)
Epoch: [0][110/782]	Time 0.063 (0.065)	Data 0.002 (0.002)	Loss 2.3159 (2.5889)	Prec 7.812% (10.290%)
Epoch: [0][120/782]	Time 0.060 (0.065)	Data 0.001 (0.002)	Loss 2.3000 (2.5637)	Prec 20.312% (10.486%)
Epoch: [0][130/782]	Time 0.064 (0.065)	Data 0.002 (0.002)	Loss 2.2508 (2.5422)	Prec 14.062% (10.651%)
Epoch: [0][140/782]	Time 0.066 (0.065)	Data 0.001 (0.002)	Loss 2.2949 (2.5239)	Prec 9.375% (10.694%)
Epoch: [0][150/782]	Time 0.062 (0.065)	Data 0.002 (0.002)	Loss 2.2802 (2.5089)	Prec 10.938% (10.751%)
Epoch: [0][160/782]	Time 0.063 (0.065)	Data 0.002 (0.002)	Loss 2.2720 (2.4946)	Prec 9.375% (10.957%)
Epoch: [0][170/782]	Time 0.073 (0.065)	Data 0.001 (0.002)	Loss 2.2937 (2.4824)	Prec 17.188% (11.175%)
