=> Building model...
model depth 110...
=> loading cifar10 data...
Files already downloaded and verified
Files already downloaded and verified
Epoch: [0][450/782]	Time 0.062 (0.065)	Data 0.001 (0.002)	Loss 2.3516 (2.3724)	Prec 10.938% (11.298%)
Epoch: [0][460/782]	Time 0.062 (0.065)	Data 0.001 (0.002)	Loss 2.2800 (2.3706)	Prec 12.500% (11.310%)
Epoch: [0][470/782]	Time 0.065 (0.065)	Data 0.001 (0.002)	Loss 2.2890 (2.3690)	Prec 12.500% (11.312%)
Epoch: [0][480/782]	Time 0.079 (0.065)	Data 0.001 (0.002)	Loss 2.2166 (2.3668)	Prec 15.625% (11.379%)
Epoch: [0][490/782]	Time 0.062 (0.065)	Data 0.001 (0.002)	Loss 2.2860 (2.3650)	Prec 12.500% (11.412%)
Epoch: [0][500/782]	Time 0.063 (0.065)	Data 0.001 (0.002)	Loss 2.3773 (2.3634)	Prec 6.250% (11.452%)
Epoch: [0][510/782]	Time 0.064 (0.065)	Data 0.001 (0.002)	Loss 2.3002 (2.3619)	Prec 10.938% (11.537%)
Epoch: [0][520/782]	Time 0.067 (0.065)	Data 0.002 (0.002)	Loss 2.3354 (2.3606)	Prec 9.375% (11.522%)
Epoch: [0][530/782]	Time 0.063 (0.065)	Data 0.001 (0.002)	Loss 2.2626 (2.3593)	Prec 23.438% (11.547%)
Epoch: [0][540/782]	Time 0.066 (0.065)	Data 0.002 (0.002)	Loss 2.2854 (2.3578)	Prec 15.625% (11.582%)
Epoch: [0][550/782]	Time 0.064 (0.065)	Data 0.002 (0.002)	Loss 2.2514 (2.3562)	Prec 15.625% (11.615%)
Epoch: [0][560/782]	Time 0.068 (0.065)	Data 0.003 (0.002)	Loss 2.2762 (2.3550)	Prec 12.500% (11.614%)
Epoch: [0][570/782]	Time 0.068 (0.065)	Data 0.004 (0.002)	Loss 2.2924 (2.3535)	Prec 3.125% (11.619%)
Epoch: [0][580/782]	Time 0.065 (0.065)	Data 0.002 (0.002)	Loss 2.2391 (2.3520)	Prec 17.188% (11.645%)
Epoch: [0][590/782]	Time 0.064 (0.065)	Data 0.001 (0.002)	Loss 2.2616 (2.3508)	Prec 15.625% (11.696%)
Epoch: [0][600/782]	Time 0.065 (0.065)	Data 0.001 (0.002)	Loss 2.3119 (2.3497)	Prec 17.188% (11.746%)
Epoch: [0][610/782]	Time 0.065 (0.065)	Data 0.002 (0.002)	Loss 2.2436 (2.3484)	Prec 14.062% (11.751%)
Epoch: [0][620/782]	Time 0.062 (0.065)	Data 0.001 (0.002)	Loss 2.2149 (2.3470)	Prec 15.625% (11.763%)
Epoch: [0][630/782]	Time 0.063 (0.065)	Data 0.001 (0.002)	Loss 2.2710 (2.3455)	Prec 14.062% (11.807%)
Epoch: [0][640/782]	Time 0.065 (0.065)	Data 0.002 (0.002)	Loss 2.3651 (2.3442)	Prec 10.938% (11.861%)
Epoch: [0][650/782]	Time 0.065 (0.065)	Data 0.002 (0.002)	Loss 2.1635 (2.3428)	Prec 20.312% (11.907%)
Epoch: [0][660/782]	Time 0.064 (0.065)	Data 0.001 (0.002)	Loss 2.2201 (2.3418)	Prec 12.500% (11.923%)
Epoch: [0][670/782]	Time 0.063 (0.065)	Data 0.001 (0.002)	Loss 2.3671 (2.3408)	Prec 7.812% (11.946%)
Epoch: [0][680/782]	Time 0.063 (0.065)	Data 0.001 (0.002)	Loss 2.2534 (2.3398)	Prec 7.812% (11.970%)
Epoch: [0][690/782]	Time 0.064 (0.065)	Data 0.001 (0.002)	Loss 2.2482 (2.3386)	Prec 12.500% (12.003%)
Epoch: [0][700/782]	Time 0.063 (0.065)	Data 0.001 (0.002)	Loss 2.2352 (2.3374)	Prec 18.750% (12.068%)
Epoch: [0][710/782]	Time 0.065 (0.065)	Data 0.002 (0.002)	Loss 2.3299 (2.3366)	Prec 9.375% (12.058%)
Epoch: [0][720/782]	Time 0.068 (0.065)	Data 0.002 (0.002)	Loss 2.2295 (2.3351)	Prec 12.500% (12.108%)
Epoch: [0][730/782]	Time 0.064 (0.065)	Data 0.002 (0.002)	Loss 2.2393 (2.3336)	Prec 17.188% (12.164%)
Epoch: [0][740/782]	Time 0.080 (0.065)	Data 0.001 (0.002)	Loss 2.2139 (2.3318)	Prec 7.812% (12.213%)
Epoch: [0][750/782]	Time 0.066 (0.065)	Data 0.002 (0.002)	Loss 2.1818 (2.3299)	Prec 15.625% (12.288%)
Epoch: [0][760/782]	Time 0.065 (0.065)	Data 0.002 (0.002)	Loss 2.1609 (2.3280)	Prec 14.062% (12.328%)
Epoch: [0][770/782]	Time 0.063 (0.065)	Data 0.001 (0.002)	Loss 2.1846 (2.3263)	Prec 9.375% (12.384%)
Epoch: [0][780/782]	Time 0.062 (0.065)	Data 0.001 (0.002)	Loss 2.0482 (2.3239)	Prec 25.000% (12.464%)
Test: [0/100]	Time 0.171 (0.171)	Loss 2.2755 (2.2755)	Prec 13.000% (13.000%)
Test: [10/100]	Time 0.019 (0.033)	Loss 2.2892 (2.2687)	Prec 20.000% (14.545%)
Test: [20/100]	Time 0.023 (0.027)	Loss 2.3265 (2.2734)	Prec 10.000% (13.762%)
Test: [30/100]	Time 0.030 (0.026)	Loss 2.3345 (2.2789)	Prec 10.000% (13.452%)
Test: [40/100]	Time 0.019 (0.024)	Loss 2.2757 (2.2788)	Prec 11.000% (13.220%)
Test: [50/100]	Time 0.019 (0.023)	Loss 2.3018 (2.2779)	Prec 19.000% (13.412%)
Test: [60/100]	Time 0.019 (0.023)	Loss 2.2617 (2.2837)	Prec 16.000% (13.508%)
Test: [70/100]	Time 0.019 (0.022)	Loss 2.3132 (2.2822)	Prec 11.000% (13.549%)
Test: [80/100]	Time 0.019 (0.022)	Loss 2.2518 (2.2821)	Prec 15.000% (13.642%)
Test: [90/100]	Time 0.019 (0.022)	Loss 2.1982 (2.2797)	Prec 18.000% (13.527%)
 * Prec 13.530% 
Epoch: [1][0/782]	Time 0.234 (0.234)	Data 0.098 (0.098)	Loss 2.1657 (2.1657)	Prec 21.875% (21.875%)
Epoch: [1][10/782]	Time 0.065 (0.083)	Data 0.002 (0.010)	Loss 2.1490 (2.1772)	Prec 12.500% (18.040%)
Epoch: [1][20/782]	Time 0.066 (0.074)	Data 0.002 (0.006)	Loss 1.9923 (2.1526)	Prec 21.875% (19.345%)
Epoch: [1][30/782]	Time 0.066 (0.072)	Data 0.002 (0.005)	Loss 2.1411 (2.1412)	Prec 17.188% (19.355%)
Epoch: [1][40/782]	Time 0.064 (0.070)	Data 0.001 (0.004)	Loss 2.0917 (2.1404)	Prec 20.312% (19.245%)
Epoch: [1][50/782]	Time 0.063 (0.069)	Data 0.001 (0.003)	Loss 2.0696 (2.1380)	Prec 26.562% (19.638%)
Epoch: [1][60/782]	Time 0.065 (0.068)	Data 0.001 (0.003)	Loss 2.0747 (2.1306)	Prec 15.625% (19.749%)
Epoch: [1][70/782]	Time 0.065 (0.068)	Data 0.002 (0.003)	Loss 2.1380 (2.1257)	Prec 23.438% (20.048%)
Epoch: [1][80/782]	Time 0.079 (0.068)	Data 0.002 (0.003)	Loss 2.1735 (2.1350)	Prec 15.625% (19.502%)
Epoch: [1][90/782]	Time 0.066 (0.068)	Data 0.002 (0.003)	Loss 2.1731 (2.1347)	Prec 17.188% (19.214%)
Epoch: [1][100/782]	Time 0.065 (0.068)	Data 0.001 (0.003)	Loss 1.9502 (2.1283)	Prec 26.562% (19.307%)
Epoch: [1][110/782]	Time 0.066 (0.068)	Data 0.002 (0.002)	Loss 1.9054 (2.1234)	Prec 32.812% (19.454%)
Epoch: [1][120/782]	Time 0.067 (0.068)	Data 0.001 (0.002)	Loss 1.9812 (2.1206)	Prec 26.562% (19.886%)
Epoch: [1][130/782]	Time 0.064 (0.068)	Data 0.002 (0.002)	Loss 2.1584 (2.1192)	Prec 17.188% (19.907%)
Epoch: [1][140/782]	Time 0.065 (0.068)	Data 0.002 (0.002)	Loss 1.8928 (2.1129)	Prec 23.438% (20.124%)
Epoch: [1][150/782]	Time 0.066 (0.068)	Data 0.002 (0.002)	Loss 2.0719 (2.1089)	Prec 17.188% (20.199%)
Epoch: [1][160/782]	Time 0.080 (0.068)	Data 0.002 (0.002)	Loss 2.1484 (2.1048)	Prec 21.875% (20.235%)
Epoch: [1][170/782]	Time 0.067 (0.068)	Data 0.004 (0.002)	Loss 2.1128 (2.1017)	Prec 15.625% (20.303%)
Epoch: [1][180/782]	Time 0.065 (0.068)	Data 0.002 (0.002)	Loss 2.2380 (2.0964)	Prec 29.688% (20.649%)
Epoch: [1][190/782]	Time 0.064 (0.068)	Data 0.002 (0.002)	Loss 1.9397 (2.0894)	Prec 39.062% (20.836%)
Epoch: [1][200/782]	Time 0.069 (0.068)	Data 0.002 (0.002)	Loss 2.0560 (2.0851)	Prec 25.000% (21.028%)
Epoch: [1][210/782]	Time 0.064 (0.067)	Data 0.001 (0.002)	Loss 1.8711 (2.0830)	Prec 31.250% (21.268%)
Epoch: [1][220/782]	Time 0.063 (0.067)	Data 0.001 (0.002)	Loss 2.0074 (2.0802)	Prec 29.688% (21.578%)
Epoch: [1][230/782]	Time 0.066 (0.067)	Data 0.001 (0.002)	Loss 2.0825 (2.0747)	Prec 28.125% (21.875%)
Epoch: [1][240/782]	Time 0.065 (0.067)	Data 0.002 (0.002)	Loss 2.1976 (2.0696)	Prec 18.750% (22.134%)
Epoch: [1][250/782]	Time 0.065 (0.067)	Data 0.002 (0.002)	Loss 1.8206 (2.0656)	Prec 25.000% (22.136%)
Epoch: [1][260/782]	Time 0.065 (0.067)	Data 0.002 (0.002)	Loss 1.9055 (2.0620)	Prec 29.688% (22.234%)
Epoch: [1][270/782]	Time 0.067 (0.067)	Data 0.001 (0.002)	Loss 2.0693 (2.0595)	Prec 25.000% (22.388%)
Epoch: [1][280/782]	Time 0.064 (0.067)	Data 0.001 (0.002)	Loss 1.8251 (2.0544)	Prec 32.812% (22.648%)
Epoch: [1][290/782]	Time 0.067 (0.067)	Data 0.002 (0.002)	Loss 1.7864 (2.0495)	Prec 39.062% (22.852%)
Epoch: [1][300/782]	Time 0.065 (0.067)	Data 0.002 (0.002)	Loss 1.8374 (2.0444)	Prec 29.688% (23.131%)
Epoch: [1][310/782]	Time 0.064 (0.067)	Data 0.001 (0.002)	Loss 1.8605 (2.0397)	Prec 32.812% (23.362%)
Epoch: [1][320/782]	Time 0.064 (0.067)	Data 0.001 (0.002)	Loss 1.9518 (2.0366)	Prec 20.312% (23.452%)
Epoch: [1][330/782]	Time 0.063 (0.067)	Data 0.001 (0.002)	Loss 2.0027 (2.0321)	Prec 26.562% (23.598%)
Epoch: [1][340/782]	Time 0.064 (0.067)	Data 0.002 (0.002)	Loss 2.0875 (2.0294)	Prec 26.562% (23.804%)
Epoch: [1][350/782]	Time 0.064 (0.067)	Data 0.001 (0.002)	Loss 1.8181 (2.0253)	Prec 32.812% (23.945%)
Epoch: [1][360/782]	Time 0.063 (0.067)	Data 0.001 (0.002)	Loss 1.8803 (2.0203)	Prec 23.438% (24.126%)
Epoch: [1][370/782]	Time 0.064 (0.067)	Data 0.001 (0.002)	Loss 1.8950 (2.0164)	Prec 18.750% (24.170%)
Epoch: [1][380/782]	Time 0.063 (0.067)	Data 0.001 (0.002)	Loss 2.0995 (2.0130)	Prec 20.312% (24.319%)
Epoch: [1][390/782]	Time 0.066 (0.067)	Data 0.002 (0.002)	Loss 1.8035 (2.0086)	Prec 28.125% (24.564%)
Epoch: [1][400/782]	Time 0.064 (0.067)	Data 0.001 (0.002)	Loss 1.7155 (2.0027)	Prec 31.250% (24.770%)
Epoch: [1][410/782]	Time 0.064 (0.067)	Data 0.001 (0.002)	Loss 1.7894 (1.9985)	Prec 31.250% (24.928%)
Epoch: [1][420/782]	Time 0.062 (0.066)	Data 0.001 (0.002)	Loss 1.8266 (1.9967)	Prec 39.062% (25.022%)
Epoch: [1][430/782]	Time 0.065 (0.066)	Data 0.002 (0.002)	Loss 1.7229 (1.9920)	Prec 32.812% (25.225%)
Epoch: [1][440/782]	Time 0.065 (0.066)	Data 0.002 (0.002)	Loss 1.6822 (1.9883)	Prec 43.750% (25.383%)
Epoch: [1][450/782]	Time 0.068 (0.066)	Data 0.002 (0.002)	Loss 1.8578 (1.9847)	Prec 32.812% (25.579%)
Epoch: [1][460/782]	Time 0.067 (0.066)	Data 0.002 (0.002)	Loss 1.7579 (1.9809)	Prec 26.562% (25.691%)
Epoch: [1][470/782]	Time 0.065 (0.066)	Data 0.002 (0.002)	Loss 1.8628 (1.9773)	Prec 28.125% (25.829%)
Epoch: [1][480/782]	Time 0.066 (0.066)	Data 0.001 (0.002)	Loss 1.8595 (1.9739)	Prec 28.125% (25.978%)
Epoch: [1][490/782]	Time 0.064 (0.066)	Data 0.002 (0.002)	Loss 1.9564 (1.9707)	Prec 28.125% (26.053%)
Epoch: [1][500/782]	Time 0.065 (0.066)	Data 0.002 (0.002)	Loss 1.8144 (1.9676)	Prec 45.312% (26.188%)
Epoch: [1][510/782]	Time 0.065 (0.066)	Data 0.002 (0.002)	Loss 1.8891 (1.9650)	Prec 23.438% (26.296%)
Epoch: [1][520/782]	Time 0.064 (0.066)	Data 0.002 (0.002)	Loss 1.6902 (1.9609)	Prec 31.250% (26.434%)
Epoch: [1][530/782]	Time 0.064 (0.066)	Data 0.001 (0.002)	Loss 1.9142 (1.9575)	Prec 28.125% (26.580%)
Epoch: [1][540/782]	Time 0.065 (0.066)	Data 0.002 (0.002)	Loss 1.8169 (1.9541)	Prec 31.250% (26.664%)
Epoch: [1][550/782]	Time 0.064 (0.066)	Data 0.002 (0.002)	Loss 1.8926 (1.9510)	Prec 34.375% (26.792%)
Epoch: [1][560/782]	Time 0.065 (0.066)	Data 0.002 (0.002)	Loss 1.7368 (1.9477)	Prec 28.125% (26.872%)
Epoch: [1][570/782]	Time 0.064 (0.066)	Data 0.002 (0.002)	Loss 1.7072 (1.9441)	Prec 40.625% (27.047%)
Epoch: [1][580/782]	Time 0.065 (0.066)	Data 0.002 (0.002)	Loss 1.6120 (1.9398)	Prec 39.062% (27.219%)
Epoch: [1][590/782]	Time 0.065 (0.066)	Data 0.001 (0.002)	Loss 1.6231 (1.9367)	Prec 35.938% (27.395%)
Epoch: [1][600/782]	Time 0.064 (0.066)	Data 0.002 (0.002)	Loss 1.7459 (1.9338)	Prec 37.500% (27.511%)
Epoch: [1][610/782]	Time 0.065 (0.066)	Data 0.001 (0.002)	Loss 1.6449 (1.9316)	Prec 37.500% (27.621%)
Epoch: [1][620/782]	Time 0.065 (0.066)	Data 0.002 (0.002)	Loss 1.8412 (1.9284)	Prec 31.250% (27.753%)
