=> Building model...
model depth 110...
=> loading cifar100 data...
Files already downloaded and verified
Files already downloaded and verified
Epoch: [0][0/782]	Time 0.475 (0.475)	Data 0.125 (0.125)	Loss 5.6251 (5.6251)	Prec 0.000% (0.000%)
Epoch: [0][10/782]	Time 0.068 (0.113)	Data 0.002 (0.013)	Loss 5.6342 (6.1128)	Prec 0.000% (0.426%)
Epoch: [0][20/782]	Time 0.067 (0.091)	Data 0.002 (0.008)	Loss 4.5523 (5.4646)	Prec 3.125% (0.818%)
Epoch: [0][30/782]	Time 0.073 (0.083)	Data 0.002 (0.006)	Loss 4.6203 (5.2064)	Prec 3.125% (1.008%)
Epoch: [0][40/782]	Time 0.066 (0.080)	Data 0.001 (0.005)	Loss 4.6256 (5.0621)	Prec 1.562% (1.258%)
Epoch: [0][50/782]	Time 0.067 (0.077)	Data 0.001 (0.004)	Loss 4.6094 (4.9706)	Prec 0.000% (1.164%)
Epoch: [0][60/782]	Time 0.077 (0.076)	Data 0.001 (0.004)	Loss 4.6346 (4.9090)	Prec 0.000% (1.230%)
Epoch: [0][70/782]	Time 0.066 (0.075)	Data 0.001 (0.003)	Loss 4.5436 (4.8642)	Prec 1.562% (1.188%)
Epoch: [0][80/782]	Time 0.066 (0.074)	Data 0.001 (0.003)	Loss 4.5771 (4.8309)	Prec 3.125% (1.157%)
Epoch: [0][90/782]	Time 0.068 (0.073)	Data 0.002 (0.003)	Loss 4.6158 (4.8029)	Prec 1.562% (1.202%)
Epoch: [0][100/782]	Time 0.066 (0.073)	Data 0.002 (0.003)	Loss 4.5656 (4.7810)	Prec 1.562% (1.145%)
Epoch: [0][110/782]	Time 0.067 (0.072)	Data 0.002 (0.003)	Loss 4.5498 (4.7576)	Prec 1.562% (1.239%)
Epoch: [0][120/782]	Time 0.067 (0.072)	Data 0.002 (0.003)	Loss 4.5148 (4.7432)	Prec 4.688% (1.265%)
Epoch: [0][130/782]	Time 0.068 (0.071)	Data 0.002 (0.002)	Loss 4.5793 (4.7299)	Prec 1.562% (1.288%)
Epoch: [0][140/782]	Time 0.070 (0.071)	Data 0.002 (0.002)	Loss 4.4914 (4.7156)	Prec 4.688% (1.352%)
Epoch: [0][150/782]	Time 0.066 (0.071)	Data 0.001 (0.002)	Loss 4.5089 (4.7015)	Prec 4.688% (1.459%)
Epoch: [0][160/782]	Time 0.066 (0.071)	Data 0.001 (0.002)	Loss 4.5667 (4.6923)	Prec 1.562% (1.485%)
Epoch: [0][170/782]	Time 0.069 (0.071)	Data 0.002 (0.002)	Loss 4.5267 (4.6834)	Prec 1.562% (1.489%)
Epoch: [0][180/782]	Time 0.067 (0.071)	Data 0.001 (0.002)	Loss 4.5410 (4.6739)	Prec 1.562% (1.537%)
Epoch: [0][190/782]	Time 0.066 (0.071)	Data 0.001 (0.002)	Loss 4.5691 (4.6653)	Prec 1.562% (1.612%)
Epoch: [0][200/782]	Time 0.067 (0.070)	Data 0.001 (0.002)	Loss 4.4684 (4.6578)	Prec 4.688% (1.656%)
Epoch: [0][210/782]	Time 0.069 (0.070)	Data 0.001 (0.002)	Loss 4.4033 (4.6498)	Prec 1.562% (1.629%)
Epoch: [0][220/782]	Time 0.068 (0.070)	Data 0.001 (0.002)	Loss 4.4810 (4.6419)	Prec 3.125% (1.683%)
Epoch: [0][230/782]	Time 0.068 (0.070)	Data 0.002 (0.002)	Loss 4.4799 (4.6363)	Prec 0.000% (1.698%)
Epoch: [0][240/782]	Time 0.080 (0.070)	Data 0.001 (0.002)	Loss 4.4191 (4.6291)	Prec 3.125% (1.718%)
Epoch: [0][250/782]	Time 0.067 (0.070)	Data 0.001 (0.002)	Loss 4.4150 (4.6234)	Prec 1.562% (1.737%)
Epoch: [0][260/782]	Time 0.068 (0.070)	Data 0.001 (0.002)	Loss 4.5206 (4.6175)	Prec 3.125% (1.748%)
Epoch: [0][270/782]	Time 0.067 (0.070)	Data 0.001 (0.002)	Loss 4.4834 (4.6117)	Prec 3.125% (1.712%)
Epoch: [0][280/782]	Time 0.066 (0.070)	Data 0.001 (0.002)	Loss 4.5434 (4.6074)	Prec 0.000% (1.685%)
Epoch: [0][290/782]	Time 0.068 (0.070)	Data 0.002 (0.002)	Loss 4.5255 (4.6021)	Prec 0.000% (1.681%)
Epoch: [0][300/782]	Time 0.068 (0.070)	Data 0.002 (0.002)	Loss 4.3650 (4.5975)	Prec 0.000% (1.672%)
Epoch: [0][310/782]	Time 0.067 (0.070)	Data 0.001 (0.002)	Loss 4.3859 (4.5926)	Prec 1.562% (1.668%)
Epoch: [0][320/782]	Time 0.068 (0.070)	Data 0.002 (0.002)	Loss 4.5288 (4.5874)	Prec 0.000% (1.665%)
Epoch: [0][330/782]	Time 0.067 (0.070)	Data 0.001 (0.002)	Loss 4.3651 (4.5828)	Prec 1.562% (1.690%)
Epoch: [0][340/782]	Time 0.068 (0.070)	Data 0.002 (0.002)	Loss 4.3970 (4.5778)	Prec 3.125% (1.709%)
Epoch: [0][350/782]	Time 0.067 (0.070)	Data 0.001 (0.002)	Loss 4.4133 (4.5732)	Prec 1.562% (1.727%)
Epoch: [0][360/782]	Time 0.068 (0.070)	Data 0.001 (0.002)	Loss 4.4391 (4.5693)	Prec 1.562% (1.749%)
Epoch: [0][370/782]	Time 0.068 (0.070)	Data 0.002 (0.002)	Loss 4.3475 (4.5646)	Prec 3.125% (1.777%)
Epoch: [0][380/782]	Time 0.068 (0.070)	Data 0.002 (0.002)	Loss 4.3533 (4.5601)	Prec 3.125% (1.800%)
Epoch: [0][390/782]	Time 0.068 (0.070)	Data 0.001 (0.002)	Loss 4.4232 (4.5560)	Prec 1.562% (1.806%)
Epoch: [0][400/782]	Time 0.067 (0.070)	Data 0.002 (0.002)	Loss 4.3752 (4.5518)	Prec 3.125% (1.824%)
Epoch: [0][410/782]	Time 0.068 (0.069)	Data 0.001 (0.002)	Loss 4.5880 (4.5484)	Prec 0.000% (1.836%)
Epoch: [0][420/782]	Time 0.068 (0.069)	Data 0.001 (0.002)	Loss 4.4193 (4.5449)	Prec 3.125% (1.863%)
Epoch: [0][430/782]	Time 0.068 (0.069)	Data 0.001 (0.002)	Loss 4.6111 (4.5419)	Prec 0.000% (1.867%)
Epoch: [0][440/782]	Time 0.067 (0.069)	Data 0.001 (0.002)	Loss 4.2109 (4.5381)	Prec 4.688% (1.885%)
Epoch: [0][450/782]	Time 0.067 (0.069)	Data 0.001 (0.002)	Loss 4.2400 (4.5330)	Prec 6.250% (1.951%)
Epoch: [0][460/782]	Time 0.068 (0.069)	Data 0.002 (0.002)	Loss 4.4748 (4.5307)	Prec 1.562% (1.956%)
Epoch: [0][470/782]	Time 0.068 (0.069)	Data 0.002 (0.002)	Loss 4.4627 (4.5285)	Prec 3.125% (1.980%)
Epoch: [0][480/782]	Time 0.067 (0.069)	Data 0.002 (0.002)	Loss 4.2623 (4.5253)	Prec 6.250% (2.014%)
Epoch: [0][490/782]	Time 0.068 (0.069)	Data 0.002 (0.002)	Loss 4.4113 (4.5224)	Prec 3.125% (2.011%)
Epoch: [0][500/782]	Time 0.067 (0.069)	Data 0.002 (0.002)	Loss 4.4462 (4.5189)	Prec 0.000% (2.021%)
Epoch: [0][510/782]	Time 0.066 (0.069)	Data 0.001 (0.002)	Loss 4.4179 (4.5163)	Prec 0.000% (2.043%)
Epoch: [0][520/782]	Time 0.068 (0.069)	Data 0.002 (0.002)	Loss 4.3092 (4.5119)	Prec 3.125% (2.090%)
Epoch: [0][530/782]	Time 0.066 (0.069)	Data 0.001 (0.002)	Loss 4.1615 (4.5079)	Prec 6.250% (2.104%)
Epoch: [0][540/782]	Time 0.066 (0.069)	Data 0.001 (0.002)	Loss 4.2354 (4.5048)	Prec 6.250% (2.114%)
Epoch: [0][550/782]	Time 0.068 (0.069)	Data 0.002 (0.002)	Loss 4.3827 (4.5022)	Prec 4.688% (2.118%)
Epoch: [0][560/782]	Time 0.066 (0.069)	Data 0.002 (0.002)	Loss 4.3246 (4.4983)	Prec 7.812% (2.156%)
Epoch: [0][570/782]	Time 0.069 (0.069)	Data 0.002 (0.002)	Loss 4.2397 (4.4939)	Prec 1.562% (2.178%)
Epoch: [0][580/782]	Time 0.066 (0.069)	Data 0.001 (0.002)	Loss 4.3592 (4.4910)	Prec 3.125% (2.181%)
Epoch: [0][590/782]	Time 0.066 (0.069)	Data 0.001 (0.002)	Loss 4.3089 (4.4875)	Prec 1.562% (2.192%)
Epoch: [0][600/782]	Time 0.065 (0.069)	Data 0.001 (0.002)	Loss 4.3272 (4.4842)	Prec 6.250% (2.218%)
Epoch: [0][610/782]	Time 0.067 (0.069)	Data 0.002 (0.002)	Loss 4.2503 (4.4803)	Prec 6.250% (2.235%)
Epoch: [0][620/782]	Time 0.067 (0.069)	Data 0.001 (0.002)	Loss 4.1809 (4.4766)	Prec 3.125% (2.242%)
Epoch: [0][630/782]	Time 0.068 (0.069)	Data 0.002 (0.002)	Loss 3.9521 (4.4724)	Prec 4.688% (2.271%)
Epoch: [0][640/782]	Time 0.067 (0.069)	Data 0.001 (0.002)	Loss 4.2439 (4.4685)	Prec 1.562% (2.299%)
Epoch: [0][650/782]	Time 0.066 (0.069)	Data 0.001 (0.002)	Loss 4.2615 (4.4642)	Prec 4.688% (2.350%)
Epoch: [0][660/782]	Time 0.068 (0.069)	Data 0.002 (0.002)	Loss 4.3511 (4.4607)	Prec 1.562% (2.371%)
Epoch: [0][670/782]	Time 0.067 (0.069)	Data 0.001 (0.002)	Loss 4.2540 (4.4559)	Prec 3.125% (2.405%)
Epoch: [0][680/782]	Time 0.069 (0.069)	Data 0.002 (0.002)	Loss 4.1897 (4.4523)	Prec 1.562% (2.423%)
Epoch: [0][690/782]	Time 0.068 (0.069)	Data 0.002 (0.002)	Loss 4.1030 (4.4476)	Prec 4.688% (2.447%)
Epoch: [0][700/782]	Time 0.069 (0.069)	Data 0.002 (0.002)	Loss 4.2759 (4.4440)	Prec 1.562% (2.472%)
Epoch: [0][710/782]	Time 0.069 (0.069)	Data 0.002 (0.002)	Loss 4.0832 (4.4405)	Prec 6.250% (2.510%)
Epoch: [0][720/782]	Time 0.069 (0.069)	Data 0.002 (0.002)	Loss 4.0246 (4.4370)	Prec 3.125% (2.549%)
Epoch: [0][730/782]	Time 0.068 (0.069)	Data 0.001 (0.002)	Loss 4.0771 (4.4334)	Prec 4.688% (2.559%)
